/home/rdmerrio/gits/yaep/test/compare_parsers/ansic.y, warning,parser-conflict, 1 shift/reduce conflict 
/home/rdmerrio/gits/yaep/test/ticker.cpp,98,old-style-cast,73: warning: use of old-style cast to 'double' 
/home/rdmerrio/gits/yaep/test/ticker.cpp,101,old-style-cast,56: warning: use of old-style cast to 'double' 
/home/rdmerrio/gits/yaep/src/yaep.c,285,sign-conversion,48: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,446,sign-conversion,22: warning: conversion to 'unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,649,cast-qual,10: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,698,cast-qual,24: warning: cast discards 'const' qualifier from pointer target type 
/home/rdmerrio/gits/yaep/src/yaep.c,887,sign-conversion,33: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,893,sign-conversion,43: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,994,sign-conversion,31: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,994,conversion,10: warning: conversion from 'long unsigned int' to 'int' may change value 
/home/rdmerrio/gits/yaep/src/yaep.c,998,conversion,14: warning: conversion from 'term_set_el_t' {aka 'long int'} to 'unsigned int' may change value 
/home/rdmerrio/gits/yaep/src/yaep.c,1011,sign-conversion,31: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,1011,conversion,10: warning: conversion from 'long unsigned int' to 'int' may change value 
/home/rdmerrio/gits/yaep/src/objstack.h,285,sign-conversion,27: warning: conversion to 'size_t' {aka 'long unsigned int'} from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,1158,sign-conversion,31: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,1158,conversion,10: warning: conversion from 'long unsigned int' to 'int' may change value 
/home/rdmerrio/gits/yaep/src/yaep.c,1175,sign-conversion,31: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,1175,conversion,10: warning: conversion from 'long unsigned int' to 'int' may change value 
/home/rdmerrio/gits/yaep/src/yaep.c,1193,sign-conversion,31: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,1193,conversion,10: warning: conversion from 'long unsigned int' to 'int' may change value 
/home/rdmerrio/gits/yaep/src/yaep.c,1218,sign-conversion,13: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,1219,sign-conversion,37: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,130: warning: declaration of 'eq_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/yaep.c,1236,sign-conversion,13: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/yaep.c,1237,sign-conversion,37: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,80: warning: declaration of 'hash_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/objstack.cpp,50,shadow,43: warning: declaration of 'initial_segment_length' shadows a member of 'os' 
/home/rdmerrio/gits/yaep/src/vlobject.h,433,conversion,19: warning: conversion from 'int' to 'char' may change value 
/home/rdmerrio/gits/yaep/src/yaep.c,1272,conversion,31: warning: conversion from 'long unsigned int' to 'int' may change value 
/home/rdmerrio/gits/yaep/src/objstack.cpp,56,old-style-cast,79: warning: use of old-style cast to 'class _os_segment*' 
/home/rdmerrio/gits/yaep/src/objstack.h,102,old-style-cast,75: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,130: warning: declaration of 'eq_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/objstack.cpp,50,shadow,43: warning: declaration of 'initial_segment_length' shadows a member of 'os' 
/home/rdmerrio/gits/yaep/src/vlobject.h,433,conversion,19: warning: conversion from 'int' to 'char' may change value 
/home/rdmerrio/gits/yaep/src/objstack.cpp,50,shadow,43: warning: declaration of 'initial_segment_length' shadows a member of 'os' 
/home/rdmerrio/gits/yaep/src/vlobject.cpp,62,old-style-cast,74: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,80: warning: declaration of 'hash_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,130: warning: declaration of 'eq_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,80: warning: declaration of 'hash_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,130: warning: declaration of 'eq_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,80: warning: declaration of 'hash_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,130: warning: declaration of 'eq_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,80: warning: declaration of 'hash_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/vlobject.cpp,106,old-style-cast,74: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/objstack.h,102,old-style-cast,75: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,130: warning: declaration of 'eq_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,88,shadow,80: warning: declaration of 'hash_function' shadows a member of 'hash_table' 
/home/rdmerrio/gits/yaep/src/vlobject.cpp,62,old-style-cast,74: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/objstack.cpp,150,old-style-cast,81: warning: use of old-style cast to 'class _os_segment*' 
/home/rdmerrio/gits/yaep/src/yaep.c,1507,sign-conversion,48: warning: conversion to 'long unsigned int' from 'int' may change the sign of the result 
/home/rdmerrio/gits/yaep/src/objstack.h,102,old-style-cast,75: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/vlobject.cpp,106,old-style-cast,74: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/objstack.h,102,old-style-cast,75: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,218,conversion,20: warning: conversion from 'size_t' {aka 'long unsigned int'} to 'unsigned int' may change value 
/home/rdmerrio/gits/yaep/src/yaep.c,1540,,32: warning: format '%d' expects argument of type 'int', but argument 3 has type 'ptrdiff_t' {aka 'long int'} 
/home/rdmerrio/gits/yaep/src/objstack.cpp,50,shadow,43: warning: declaration of 'initial_segment_length' shadows a member of 'os' 
/home/rdmerrio/gits/yaep/src/objstack.cpp,56,old-style-cast,79: warning: use of old-style cast to 'class _os_segment*' 
/home/rdmerrio/gits/yaep/src/objstack.h,102,old-style-cast,75: warning: use of old-style cast to 'char*' 
/home/rdmerrio/gits/yaep/src/objstack.cpp,50,shadow,43: warning: declaration of 'initial_segment_length' shadows a member of 'os' 
/home/rdmerrio/gits/yaep/src/objstack.cpp,50,shadow,43: warning: declaration of 'initial_segment_length' shadows a member of 'os' 
/home/rdmerrio/gits/yaep/src/hashtab.cpp,218,conversion,20: warning: conversion from 'size_t' {aka 'long unsigned int'} to 'unsigned int' may change value 
